authorId,authorName
A675,Beuscart-Zéphir Mc
A676,Bevan M. Baas
A677,Bharadwaj Veeravalli
A678,Bharat K. Bhargava
A679,Bhargav Kanagal
A680,Bhavani M. Thuraisingham
A681,Bhuvana Ramabhadran
A682,Bianca Schroeder
A683,Biao Zhou
A684,Bill Ramsey
A685,Bill Triggs
A686,Billur Barshan
A687,Bin Chang
A688,Bin Cheng
A689,Bin Fu
A690,Bin Leng
A691,Bin Li
A692,Bin Liu
A693,Bin Lu
A694,Bin Rong
A695,Bin Sheng
A696,Bin Wang
A697,Bin Wu
A698,Bin Xia
A699,Bin Yang
A700,Bin Zhou
A701,Binbin Chen
A702,Bineng Zhong
A703,Bing Liu
A704,Bing Qin
A705,Bing Zeng
A706,Bing-rui Wang
A707,Bingli Jiao
A708,Binoy Ravindran
A709,Binqiang Wang
A710,Binzhang Fu
A711,Birgit Schättler
A712,Birgitta Martinkauppi
A713,Biswanath Mukherjee
A714,Bivil M. Jacob
A715,Bjarne Steensgaard
A716,Bjorn Frohlich
A717,Björn E. Ottersten
A718,Björn Scheuermann
A719,Björn W. Schuller
A720,Blaise Agüera y Arcas
A721,Blanca Mancilla
A722,Bo Chen
A723,Bo Jiang
A724,Bo Li
A725,Bo Liu
A726,Bo Sun
A727,Bo Suo
A728,Bo Wang
A729,Bo Xu
A730,Bo Yang
A731,Bo Zhou
A732,Bob Hertzberger
A733,Bob Jenkins
A734,Bobak Nazer
A735,Bobby Bhattacharjee
A736,Bodo Manthey
A737,Bodo Rosenhahn
A738,Boduo Li
A739,Bogdan Ludwiczak
A740,Bogdan Nicolae
A741,Bogdan Raducanu
A742,Boghos A. Boghossian
A743,Bohyung Han
A744,Bojan Vrcelj
A745,Bona Frazila Russ
A746,Bongki Moon
A747,Boris Grot
A748,Boris Koldehofe
A749,Boris Kouassi
A750,Boris Motik
A751,Borivoje Nikolic
A752,Borja Balle
A753,Bostjan Vesnicer
A754,Boualem Benatallah
A755,Bowen Zhou
A756,Bowon Lee
A757,Boyan Botev
A758,Brad Richards
A759,Brahim Bensaou
A760,Bram Adams
A761,Brandon Mechtley
A762,Branka Vucetic
A763,Branko Ristic
A764,Brent E. Eskridge
A765,Brian Babcock
A766,Brian D. Carlstrom
A767,Brian Ensink
A768,Brian Eriksson
A769,Brian F. Cooper
A770,Brian Galvin
A771,Brian Kingsbury
A772,Brian L. Markham
A773,Brian Neyenhuis
A774,Brian Roark
A775,Brian Towles
A776,Bridge Qiao Zhao
A777,Brighten Godfrey
A778,Brigitte Fauvet
A779,Brigitte Jaumardz
A780,Brigitte Kerhervey
A781,Broderick Crawford
A782,Bronis R. de Supinski
A783,Bruce Augustine
A784,Bruce E. Hajek
A785,Bruce Lowekamp
A786,Bruce M. Boghosian
A787,Bruce Potter
A788,Bruno Heidelberger
A789,Bruno Lepri
A790,Bruno W. S. Sobral
A791,Bugra Gedik
A792,Bulent Tavli
A793,Bum Ju Lee
A794,Bun Theang Ong
A795,Burak Kazaz
A796,Burkhard Morgenstern
A797,Byung Hee Lee
A798,Byung Ro Moon
A799,Byung-Gon Chun
A800,Béat Hirsbrunner
A801,Bülent Sankur
A802,Bülent Yener
A803,C. Balasubramanian
A804,C. Caprile
A805,C. P. Davis
A806,C. von der Malsburg
A807,C.-J.R. Shi
A808,C.H. Wu
A809,Caio A. N. Lima
A810,Calvin Lin
A811,Camelia-Mihaela Pintea
A812,Cameron Patterson
A813,Camila Nunes
A814,Can Hankendi
A815,Canfeng Chen
A816,Carl A. Waldspurger
A817,Carl Livadas
A818,Carla Fabiana Chiasserini
A819,Carla-Fabiana Chiasserini
A820,Carles Navarro Manchón
A821,Carles Noguera
A822,Carlo Alberto Avizzano
A823,Carlo Condo
A824,Carlo Fischione
A825,Carlo S. Regazzoni
A826,Carlo Sansone
A827,Carlo Zaniolo
A828,Carlos A. Varela
A829,Carlos Bernal-Cárdenas
A830,Carlos Castro
A831,Carlos D. Brody
A832,Carlos Miguel Ribeiro
A833,Carlos Orrite
A834,Carlos Oscar Sánchez Sorzano
A835,Carlos Pestana Barros
A836,Carlos Vázquez
A837,Carmen Banea
A838,Carmen Guerrero
A839,Carol J. Bruegge
A840,Carolin Kaiser
A841,Carri W. Chan
A842,Carter T. Butts
A843,Catalin L. Dumitrescu
A844,Catalina O. Tudor
A845,Caterina M. Scoglio
A846,Cathal Gurrin
A847,Catherine Pelachaud
A848,Catherine Rosenberg
A849,Cathy H. Wu
A850,Cathy Kwok
A851,Ce Zhu
A852,Ce-Kuen Shieh
A853,Cedomir Stefanovic
A854,Cees G. M. Snoek
A855,Cees de Laat
A856,Cees van Reeuwijk
A857,Celal Ozturk
A858,Celia Siu
A859,Celso Olivete Junior
A860,Cem Direkoglu
A861,Cen Rao
A862,Cencen Zhong
A863,Ceriel J. H. Jacobs
A864,Cesar Fuentes Montesinos
A865,Cesar Puente
A866,Cesare Maria Carretti
A867,Chaedeok Lim
A868,Chaitanya Mishra
A869,Chaminda T. E. R. Hewage
A870,Chan Wah Ng
A871,Chan-Byoung Chae
A872,Chanchal K. Roy
A873,Chandra N. Sekharan
A874,Chandra Sekhar Seelamantula
A875,Chandrakant D. Patel
A876,Chandrama Ahmed
A877,Chang Wen Chen
A878,Chang-Ming Lee
A879,Changjian Gao
A880,Changjun Jiang
A881,Changsong Liu
A882,Changyou Xing
A883,Changzhi Zhao
A884,Chanle Wu
A885,Chao Chen
A886,Chao Gui
A887,Chao Hu
A888,Chao Liang
A889,Chao Tian
A890,Chao Wang
A891,Chao Xu
A892,Chao Yao
A893,Chao Yu
A894,Chao-Yuan Yang
A895,Chaoran Liu
A896,Charalampos Konstantopoulos
A897,Charles A. Micchelli
A898,Charles D. Cavanaugh
A899,Charles E. Miller
A900,Charles K. Chui
